Tier_A_MW,Tier_B1_MW,Reliability_A,Reliability_B1,LCOE
0.0,0.0,100.0,100.0,1000000.0
0.0,1.0,100.0,100.0,1812.5684483961666
0.0,2.0,100.0,100.0,906.2842241980833
0.0,3.0,100.0,100.0,604.1894827987222
0.0,4.0,100.0,100.0,453.14211209904164
0.0,5.0,100.0,100.0,362.5136896792334
0.0,6.0,100.0,100.0,302.0947413993611
0.0,7.0,100.0,100.0,258.9383497708809
0.0,8.0,100.0,100.0,226.57105604952082
0.0,9.0,100.0,100.0,201.3964942662407
0.0,10.0,100.0,100.0,181.2568448396167
0.0,11.0,100.0,100.0,164.77894985419692
0.0,12.0,100.0,100.0,151.04737069968056
0.0,13.0,100.0,100.0,139.4283421843205
0.0,14.0,100.0,100.0,129.46917488544045
0.0,15.0,100.0,100.0,120.83789655974442
0.0,16.0,100.0,99.45205479452055,113.28552802476041
0.0,17.0,100.0,99.45205479452055,106.62167343506863
0.0,18.0,100.0,99.45205479452055,100.69824713312035
1.0,0.0,100.0,100.0,1812.5684483961666
1.0,1.0,100.0,100.0,906.2842241980833
1.0,2.0,100.0,100.0,604.1894827987222
1.0,3.0,100.0,100.0,453.14211209904164
1.0,4.0,100.0,100.0,362.5136896792334
1.0,5.0,100.0,100.0,302.0947413993611
1.0,6.0,100.0,100.0,258.9383497708809
1.0,7.0,100.0,100.0,226.57105604952082
1.0,8.0,100.0,100.0,201.3964942662407
1.0,9.0,100.0,100.0,181.2568448396167
1.0,10.0,100.0,100.0,164.77894985419692
1.0,11.0,100.0,100.0,151.04737069968056
1.0,12.0,100.0,100.0,139.4283421843205
1.0,13.0,100.0,100.0,129.46917488544045
1.0,14.0,100.0,99.72602739726028,120.83789655974442
1.0,15.0,100.0,99.45205479452055,113.28552802476041
1.0,16.0,100.0,99.45205479452055,106.62167343506863
1.0,17.0,100.0,99.45205479452055,100.69824713312035
1.0,18.0,100.0,99.17808219178083,95.39833938927192
2.0,0.0,100.0,100.0,906.2842241980833
2.0,1.0,100.0,100.0,604.1894827987222
2.0,2.0,100.0,100.0,453.14211209904164
2.0,3.0,100.0,100.0,362.5136896792334
2.0,4.0,100.0,100.0,302.0947413993611
2.0,5.0,100.0,100.0,258.9383497708809
2.0,6.0,100.0,100.0,226.57105604952082
2.0,7.0,100.0,100.0,201.3964942662407
2.0,8.0,100.0,100.0,181.2568448396167
2.0,9.0,100.0,100.0,164.77894985419692
2.0,10.0,100.0,100.0,151.04737069968056
2.0,11.0,100.0,100.0,139.4283421843205
2.0,12.0,100.0,99.72602739726028,129.46917488544045
2.0,13.0,100.0,99.45205479452055,120.83789655974442
2.0,14.0,100.0,99.45205479452055,113.28552802476041
2.0,15.0,100.0,99.45205479452055,106.62167343506863
2.0,16.0,100.0,99.17808219178083,100.69824713312035
2.0,17.0,100.0,98.9041095890411,
3.0,0.0,100.0,100.0,604.1894827987222
3.0,1.0,100.0,100.0,453.14211209904164
3.0,2.0,100.0,100.0,362.5136896792334
3.0,3.0,100.0,100.0,302.0947413993611
3.0,4.0,100.0,100.0,258.9383497708809
3.0,5.0,100.0,100.0,226.57105604952082
3.0,6.0,100.0,100.0,201.3964942662407
3.0,7.0,100.0,100.0,181.2568448396167
3.0,8.0,100.0,100.0,164.77894985419692
3.0,9.0,100.0,100.0,151.04737069968056
3.0,10.0,100.0,100.0,139.4283421843205
3.0,11.0,100.0,99.45205479452055,129.46917488544045
3.0,12.0,100.0,99.45205479452055,120.83789655974442
3.0,13.0,100.0,99.45205479452055,113.28552802476041
